date,fng_value,fng_classification,fng_value-Standarisasi,fng_value-Normalisasi,fng_standardized,fng_encoded,fng_ma7,fng_ma30,fng_change,fng_volatility,sentiment_simple,sentiment_change,day_of_week,day_sin,day_cos,fng_rsi
2019-10-25,24,Extreme Fear,-1.013087339535505,0.2111111111111111,-1.013087339535505,0.0,33.0,34.03333333333333,4.0,7.979139469057472,Bearish,0,4,-0.433883739117558,-0.9009688679024191,28.57142857142857
2019-10-26,53,Neutral,0.3156211174599765,0.5333333333333333,0.3156211174599765,2.0,34.714285714285715,35.4,29.0,10.781377242175473,Neutral,1,5,-0.9749279121818236,-0.2225209339563146,61.904761904761905
2019-10-27,50,Neutral,0.178168518460444,0.5,0.178168518460444,2.0,36.57142857142857,36.266666666666666,-3.0,12.259107401671551,Neutral,0,6,-0.7818314824680299,0.6234898018587334,59.09090909090909
2019-10-28,52,Neutral,0.2698035844601323,0.5222222222222223,0.2698035844601323,2.0,38.714285714285715,36.93333333333333,2.0,13.58570677482156,Neutral,0,0,0.0,1.0,61.19402985074626
2019-10-29,54,Neutral,0.3614386504598207,0.5444444444444444,0.3614386504598207,2.0,40.857142857142854,37.63333333333333,2.0,14.769660021234778,Neutral,0,1,0.7818314824680298,0.6234898018587336,61.19402985074626
2019-10-30,53,Neutral,0.3156211174599765,0.5333333333333333,0.3156211174599765,2.0,43.714285714285715,38.5,-1.0,14.929995375242605,Neutral,0,2,0.9749279121818236,-0.22252093395631434,59.701492537313435
2019-10-31,50,Neutral,0.178168518460444,0.5,0.178168518460444,2.0,48.0,38.9,-3.0,10.692676621563791,Neutral,0,3,0.43388373911755823,-0.900968867902419,57.142857142857146
2019-11-01,49,Neutral,0.1323509854605997,0.4888888888888889,0.1323509854605997,2.0,51.57142857142857,39.233333333333334,-1.0,1.9023794624235733,Neutral,0,4,-0.433883739117558,-0.9009688679024191,56.33802816901408
2019-11-02,51,Neutral,0.2239860514602881,0.5111111111111111,0.2239860514602881,2.0,51.285714285714285,39.7,2.0,1.7994708216858177,Neutral,0,5,-0.9749279121818236,-0.2225209339563146,56.944444444444436
2019-11-03,56,Greed,0.4530737164595091,0.5666666666666667,0.4530737164595091,3.0,52.142857142857146,40.56666666666667,5.0,2.410295378066178,Bullish,1,6,-0.7818314824680299,0.6234898018587334,63.013698630136986
2019-11-04,49,Neutral,0.1323509854605997,0.4888888888888889,0.1323509854605997,2.0,51.714285714285715,41.166666666666664,-7.0,2.6903708365388255,Neutral,1,0,0.0,1.0,57.5
2019-11-05,54,Neutral,0.3614386504598207,0.5444444444444444,0.3614386504598207,2.0,51.714285714285715,41.9,5.0,2.6903708365388255,Neutral,0,1,0.7818314824680298,0.6234898018587336,59.036144578313255
2019-11-06,53,Neutral,0.3156211174599765,0.5333333333333333,0.3156211174599765,2.0,51.714285714285715,42.766666666666666,-1.0,2.6903708365388255,Neutral,0,2,0.9749279121818236,-0.22252093395631434,62.82051282051282
2019-11-07,54,Neutral,0.3614386504598207,0.5444444444444444,0.3614386504598207,2.0,52.285714285714285,43.266666666666666,1.0,2.6903708365388233,Neutral,0,3,0.43388373911755823,-0.900968867902419,75.75757575757575
